delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
96.0,M_free23+free13,239.40000000009255,3,-0.049388048381760266,-0.062489035338709725,0.0017616731092618832,33.52275029894953,42.18799340975805,8.588208007986294,0.30499999999430966,0.45100000000000023,0.022300000000129844
99.0,M_free23+free13,211.5000000001387,3,-0.04938804838157566,-0.0624890353387099,0.001761673111612631,33.52275029895604,42.18799340975805,8.588208008006445,0.3049999999944143,0.45100000000000023,0.022300000000233713
100.0,M_free23+free13,202.60000000009532,3,-0.0493880483818373,-0.06248903533870943,0.001761673109383562,33.52275029894681,42.18799340975807,8.588208007987335,0.304999999994266,0.45100000000000073,0.022300000000135215
102.0,M_free23+free13,185.40000000006285,3,-0.04938804838248163,-0.06248903533870915,0.0017616731076419037,33.52275029892409,42.18799340975808,8.588208007972407,0.3049999999939007,0.45100000000000073,0.022300000000058263
104.0,M_free23+free13,169.00000000009214,3,-0.04938804838175967,-0.06248903533871023,0.0017616731092402267,33.522750298949546,42.187993409758036,8.588208007986108,0.30499999999430993,0.45099999999999996,0.02230000000012889
105.0,M_free23+free13,161.10000000008625,3,-0.049388048381536064,-0.06248903533870989,0.001761673108982842,33.52275029895744,42.18799340975805,8.588208007983901,0.3049999999944367,0.45100000000000023,0.022300000000117517
108.0,M_free23+free13,138.6000000000926,3,-0.04938804838175969,-0.06248903533870985,0.0017616731092628493,33.522750298949546,42.18799340975805,8.588208007986301,0.30499999999430993,0.45100000000000023,0.022300000000129886
110.0,M_free23+free13,124.60000000009215,3,-0.049388048381761314,-0.062489035338709996,0.0017616731092402946,33.52275029894949,42.18799340975805,8.588208007986108,0.30499999999430905,0.45100000000000023,0.02230000000012889
112.0,M_free23+free13,111.40000000079921,3,-0.049388048381761286,-0.062489035321527595,0.0017616731092508124,33.52275029894949,42.187993410531256,8.5882080079862,0.30499999999430905,0.4510000000134302,0.022300000000129362
114.0,M_free23+free13,99.00000000009236,3,-0.04938804838176128,-0.0624890353387097,0.0017616731092504607,33.52275029894949,42.18799340975805,8.588208007986195,0.30499999999430905,0.45100000000000023,0.022300000000129338
115.0,M_free23+free13,93.16722465904006,3,-0.04938804838176042,-0.06386529644976272,0.0017616731068864635,33.522750298949525,42.12606165976067,8.58820800796593,0.30499999999430955,0.4499244054560844,0.02230000000002489
